S,0,0,19,1,14,4,90,18,20,20,3,1
S,0,0,13,9,44,40,125,120,55,36,0,0
S,0,0,96,64,28,12,13,13,121,88,2,0
S,0,0,38,2,71,6,52,16,59,35,4,0
S,0,0,61,8,22,6,65,64,85,4,1,1
S,0,0,61,56,74,72,52,52,41,32,7,0
S,0,0,67,67,78,8,118,100,5,5,4,0
S,0,0,67,3,115,49,3,3,7,7,7,3
S,0,0,99,66,74,10,87,80,0,0,1,1
S,0,0,61,56,74,72,52,52,41,32,7,0
S,0,0,29,8,111,97,39,34,104,104,1,1
S,0,0,96,64,28,12,13,13,121,88,2,0
S,0,0,90,80,2,0,54,52,53,36,4,4
S,0,0,57,25,1,0,20,16,66,0,5,0
S,0,0,94,84,2,0,54,52,53,36,4,4
S,0,0,50,48,16,0,67,65,110,102,2,2
S,0,0,18,16,23,17,113,113,119,114,1,1
S,0,0,28,0,24,16,34,2,78,66,2,2
S,0,0,108,8,94,4,114,114,10,0,1,1
S,0,0,95,9,118,22,81,80,78,10,7,4
S,0,0,93,1,72,64,41,1,97,96,3,0
S,0,0,67,67,78,8,118,100,5,5,4,0
S,0,0,99,66,74,10,87,80,0,0,1,1
S,0,0,82,64,38,38,37,0,28,28,3,1
S,0,0,18,16,23,17,113,113,119,114,1,1
S,0,0,67,3,115,49,3,3,7,7,7,3
S,0,0,108,8,94,4,114,114,10,0,1,1
S,0,0,61,8,22,6,65,64,85,4,1,1
S,0,0,107,75,73,9,34,34,0,0,3,2
S,0,0,96,64,28,12,13,13,121,88,2,0
S,0,0,121,113,89,0,120,72,108,0,5,4
S,0,0,38,2,71,6,52,16,59,35,4,0
S,0,0,67,67,78,8,118,100,5,5,4,0
S,0,0,67,3,115,49,3,3,7,7,7,3
S,0,0,108,8,94,4,114,114,10,0,1,1
S,0,0,63,33,112,112,16,0,18,16,2,2
S,0,0,19,1,14,4,90,18,20,20,3,1
S,0,0,19,1,14,4,90,18,20,20,3,1
S,0,0,50,48,16,0,67,65,110,102,2,2
S,0,0,28,0,24,16,34,2,78,66,2,2
S,0,0,93,1,72,64,41,1,97,96,3,0
S,0,0,82,64,38,38,37,0,28,28,3,1
S,0,0,114,96,79,69,86,16,96,32,5,0
S,0,0,91,10,113,113,112,32,69,64,4,0
