W,128,128
A,51,70
G,56,47
G,51,70
G,65,97
G,51,70
G,80,32
G,51,70
G,121,112
G,51,70
G,21,78
G,51,70
G,0,126
G,51,70
G,25,126
G,51,70
G,55,123
G,51,70
G,35,103
G,51,70
G,122,7
G,51,70
G,37,16
G,51,70
G,100,24
G,51,70
G,38,31
G,51,70
G,102,73
G,51,70
G,5,85
G,51,70
G,85,57
G,51,70
G,34,103
G,51,70
G,39,87
G,51,70
A,73,50
G,29,38
G,73,50
G,85,45
G,73,50
G,84,30
G,73,50
G,28,74
G,73,50
G,104,36
G,73,50
G,26,26
G,73,50
G,44,36
G,73,50
G,28,120
G,73,50
G,103,15
G,73,50
G,96,105
G,73,50
A,65,91
G,78,38
G,65,91
G,5,98
G,65,91
G,55,93
G,65,91
G,86,95
G,65,91
G,101,73
G,65,91
G,117,95
G,65,91
G,27,7
G,65,91
G,105,95
G,65,91
G,11,22
G,65,91
G,1,48
G,65,91
G,98,72
G,65,91
G,104,61
G,65,91
G,87,72
G,65,91
G,124,51
G,65,91
G,40,107
G,65,91
G,22,85
G,65,91
G,124,21
G,65,91
G,86,13
G,65,91
A,123,27
G,114,48
G,123,27
G,88,40
G,123,27
G,73,34
G,123,27
G,19,64
G,123,27
G,59,100
G,123,27
G,62,40
G,123,27
G,86,8
G,123,27
G,27,84
G,123,27
G,81,0
G,123,27
G,81,4
G,123,27
G,106,21
G,123,27
G,59,82
G,123,27
G,0,115
G,123,27
G,1,27
G,123,27
G,67,31
G,123,27
G,13,47
G,123,27
A,71,34
G,50,122
G,71,34
G,106,11
G,71,34
G,69,103
G,71,34
G,31,121
G,71,34
G,54,69
G,71,34
G,103,5
G,71,34
G,64,48
G,71,34
G,12,78
G,71,34
G,2,32
G,71,34
G,44,51
G,71,34
A,43,98
G,82,72
G,43,98
G,105,39
G,43,98
G,12,66
G,43,98
G,0,66
G,43,98
G,47,22
G,43,98
A,72,50
G,50,53
G,73,50
G,97,5
G,73,50
A,97,65
G,17,66
G,97,65
G,108,20
G,97,65
G,12,9
G,97,65
G,93,87
G,97,65
A,122,27
G,2,85
G,123,27
G,126,54
G,123,27
G,124,58
G,123,27
