W,256,256
A,10,10
G,20,10
G,10,10
A,30,30
G,40,40
G,40,50
G,30,40
G,30,30
A,40,40
G,40,50
G,30,40
G,30,30
G,40,40
A,40,50
G,30,40
G,30,30
G,40,40
G,40,50
A,30,40
G,30,30
G,40,40
G,40,50
G,30,40
A,50,50
G,10,50
G,50,50
A,10,70
G,10,50
G,10,70
A,90,90
G,90,60
G,10,60
G,140,70
A,90,87
G,90,60
G,10,60
G,140,70
A,90,84
G,90,60
G,10,60
G,140,70
A,90,81
G,90,60
G,10,60
G,140,70
A,90,78
G,90,60
G,10,60
G,140,70
A,90,75
G,90,60
G,10,60
G,140,70
A,90,72
G,90,60
G,10,60
G,140,70
A,90,69
G,90,60
G,10,60
G,140,70
A,90,66
G,90,60
G,10,60
G,140,70
A,90,63
G,90,60
G,10,60
G,140,70
A,90,60
G,90,60
G,10,60
G,140,70
A,90,57
G,90,60
G,10,60
G,140,70
A,50,5
G,50,250
G,50,5
A,50,29
G,50,250
G,50,5
A,50,53
G,50,250
G,50,5
A,50,77
G,50,250
G,50,5
A,50,101
G,50,250
G,50,5
A,50,125
G,50,250
G,50,5
A,50,149
G,50,250
G,50,5
A,50,173
G,50,250
G,50,5
A,50,197
G,50,250
G,50,5
A,50,221
G,50,250
G,50,5
A,50,250
G,50,5
G,50,250
A,50,225
G,50,5
G,50,250
A,50,200
G,50,5
G,50,250
A,50,175
G,50,5
G,50,250
A,50,150
G,50,5
G,50,250
A,50,100
G,50,5
G,50,250
A,50,75
G,50,5
G,50,250
A,50,25
G,50,5
G,50,250
A,100,100
G,130,200
G,100,100
A,103,110
G,130,200
G,100,100
A,106,120
G,130,200
G,100,100
A,109,130
G,130,200
G,100,100
A,112,140
G,130,200
G,100,100
A,115,150
G,130,200
G,100,100
A,118,160
G,130,200
G,100,100
A,121,170
G,130,200
G,100,100
A,124,180
G,130,200
G,100,100
A,127,190
G,130,200
G,100,100
A,130,200
G,100,100
G,130,200
A,99,92
G,90,20
G,100,100
A,98,84
G,90,20
G,100,100
A,97,76
G,90,20
G,100,100
A,96,68
G,90,20
G,100,100
A,95,60
G,90,20
G,100,100
A,94,52
G,90,20
G,100,100
A,93,44
G,90,20
G,100,100
A,92,36
G,90,20
G,100,100
A,91,28
G,90,20
G,100,100
A,90,20
G,100,100
G,90,20
A,91,99
G,10,90
G,100,100
A,82,98
G,10,90
G,100,100
A,73,97
G,10,90
G,100,100
A,64,96
G,10,90
G,100,100
A,55,95
G,10,90
G,100,100
A,46,94
G,10,90
G,100,100
A,37,93
G,10,90
G,100,100
A,28,92
G,10,90
G,100,100
A,19,91
G,10,90
G,100,100
A,10,90
G,100,100
G,10,90
A,112,102
G,220,120
G,100,100
A,124,104
G,220,120
G,100,100
A,136,106
G,220,120
G,100,100
A,148,108
G,220,120
G,100,100
A,160,110
G,220,120
G,100,100
A,172,112
G,220,120
G,100,100
A,184,114
G,220,120
G,100,100
A,196,116
G,220,120
G,100,100
A,208,118
G,220,120
G,100,100
A,220,120
G,100,100
G,220,120
